Country,Athletes
Afghanistan,5
Albania,7
Algeria,61
American Samoa,3
Andorra,6
Angola,30
Antigua and Barbuda,5
Argentina,152
Armenia,18
Aruba,4
Australia,470
Austria,74
Azerbaijan,36
Bahamas,22
Bahrain,10
Bangladesh,4
Barbados,10
Belarus,151
Belgium,50
Belize,2
Benin,4
Bermuda,10
Bhutan,2
Bolivia,7
Bosnia and Herzegovina,9
Botswana,11
Brazil,243
British Virgin Islands,1
Brunei,1
Bulgaria,95
Burkina Faso,5
Burundi,7
Cambodia,4
Cameroon,17
Canada,263
Cape Verde,3
Cayman Islands,5
Central African Republic,4
Chad,1
Chile,22
China,384
Colombia,53
Comoros,3
Republic of the Congo,5
Cook Islands,3
Costa Rica,20
Croatia,81
Cuba,151
Cyprus,20
Czech Republic,142
Democratic Republic of the Congo,4
Denmark,92
Dominica,2
Dominican Republic,33
Ecuador,16
Egypt,97
El Salvador,8
Equatorial Guinea,2
Eritrea,4
Estonia,42
Ethiopia,26
Federated States of Micronesia,5
Fiji,10
Finland,53
France,308
Gabon,5
The Gambia,2
Georgia,32
Germany,441
Ghana,29
Great Britain,264
Greece,426 
Grenada,5
Guam,4
Guatemala,18
Guinea,3
Guinea-Bissau,3
Guyana,4
Haiti,8
Honduras,5
Hong Kong,32
Hungary,209
Iceland,26
India,73
Indonesia,38
Iran,37
Iraq,24
Ireland,46
Israel,36
Italy,364
Ivory Coast,5
Jamaica,47
Japan,306
Jordan,8
Kazakhstan,114
Kenya,46
Kiribati,3
North Korea,36
South Korea,264
Kuwait,11
Kyrgyzstan,29
Laos,5
Latvia,32
Lebanon,5
Lesotho,3
Liberia,2
Libya,8
Liechtenstein,1
Lithuania,59
Luxembourg,10
Macedonia,10
Madagascar,8
Malawi,4
Malaysia,26
Maldives,4
Mali,21
Malta,7
Mauritania,2
Mauritius,9
Mexico,109
Moldova,33
Monaco,3
Mongolia,20
Morocco,55
Mozambique,4
Myanmar,2
Namibia,8
Nauru,3
Nepal,6
Netherlands,210
Netherlands Antilles,3
New Zealand,148
Nicaragua,5
Niger,4
Nigeria,70
Norway,52
Oman,2
Pakistan,26
Palau,4
Palestine,3
Panama,4
Papua New Guinea,4
Paraguay,22
Peru,12
Philippines,16
Poland,194
Portugal,81
Puerto Rico,43
Qatar,15
Romania,108
Russia,446
Rwanda,5
Saint Kitts and Nevis,2
Saint Lucia,2
Saint Vincent and the Grenadines,3
So Tom and Prncipe,2
Samoa,3
San Marino,5
Saudi Arabia,16
Senegal,16
Serbia and Montenegro,85
Seychelles,9
Sierra Leone,2
Singapore,16
Slovakia,64
Slovenia,79
Solomon Islands,2
Somalia,2
South Africa,106
Spain,317
Sri Lanka,8
Sudan,4
Suriname,4
Swaziland,3
Sweden,115
Switzerland,98
Syria,6
Chinese Taipei,88
Tajikistan,9
Tanzania,8
Thailand,42
Timor-Leste,2
Togo,3
Tonga,5
Trinidad and Tobago,19
Tunisia,54
Turkey,64
Turkmenistan,9
Uganda,11
Ukraine,239
United Arab Emirates,4
United States,533
Uruguay,15
Uzbekistan,69
Vanuatu,2
Venezuela,48
Vietnam,11
Virgin Islands,6
Yemen,3
Zambia,6
Zimbabwe,12
